"","X","Sector","lon","lat"
"1",1,"Big Bend",-103.2425379,29.1274869
"2",2,"Blaine",-93.2349489,45.1607987
"3",3,"Buffalo",-78.8783689,42.8864468
"4",4,"Del Rio",-100.8958674,29.3708857
"5",5,"Detroit",-83.0457538,42.331427
"6",6,"El Centro",-115.5630514,32.792
"7",7,"El Paso",-106.4850217,31.7618778
"8",8,"Grand Forks",-97.0328547,47.9252568
"9",9,"Havre",-109.6840887,48.549999
"10",10,"Houlton",-67.8402316,46.1261806
"11",11,"Laredo",-99.4803241,27.5305671
"12",12,"Livermore",-121.7680088,37.6818745
"13",13,"Miami",-80.1917902,25.7616798
"14",14,"New Orleans",-90.0715323,29.9510658
"15",15,"Ramey",-78.3972413,40.7981154
"16",16,"Rio Grande Valley",-97.887797,26.162872
"17",17,"San Diego",-117.1610838,32.715738
"18",18,"Spokane",-117.4260466,47.6587802
"19",19,"Swanton",-83.8910534,41.5886629
"20",20,"Tucson",-110.926479,32.2217429
"21",21,"Yuma",-114.6276916,32.6926512
